Program ParDeg inputSize wmName tComputation tTotal

sequential 1 500 blotches-01.png 13538419 13580847
sequentialMemory 1 500 blotches-01.png 354432 1732524
parallelFor 1 500 blotches-01.png 16046082 16081023
parallelForMemory 1 500 blotches-01.png 350707 2321266
fastFlow 1 500 blotches-01.png 16278660 16305491
fastFlowMemory 1 500 blotches-01.png 841950 2547764
threads 1 500 blotches-01.png 14827307 14846266
threadsMemory 1 500 blotches-01.png 257620 1557184
grPPi 1 500 blotches-01.png 20919897 20938120
grPPiMemory 1 500 blotches-01.png 328226 1803214
parallelFor 2 500 blotches-01.png 9544847 9571678
parallelForMemory 2 500 blotches-01.png 146608 1645010
fastFlow 2 500 blotches-01.png 8831004 8857417
fastFlowMemory 2 500 blotches-01.png 684297 2751944
threads 2 500 blotches-01.png 11188880 11220095
threadsMemory 2 500 blotches-01.png 183698 1798628
grPPi 2 500 blotches-01.png 13773789 13795713
grPPiMemory 2 500 blotches-01.png 212761 1616841
parallelFor 4 500 blotches-01.png 7870337 7894263
parallelForMemory 4 500 blotches-01.png 134356 2195657
fastFlow 4 500 blotches-01.png 8784668 8811208
fastFlowMemory 4 500 blotches-01.png 450222 2434381
threads 4 500 blotches-01.png 8456188 8478487
threadsMemory 4 500 blotches-01.png 116223 1755143
grPPi 4 500 blotches-01.png 11145786 11166643
grPPiMemory 4 500 blotches-01.png 215178 1979096
sequential 1 500 blotches-15.png 23985286 24029857
sequentialMemory 1 500 blotches-15.png 8761252 10675893
parallelFor 1 500 blotches-15.png 19758970 19787037
parallelForMemory 1 500 blotches-15.png 7924692 9407816
fastFlow 1 500 blotches-15.png 23694290 23719173
fastFlowMemory 1 500 blotches-15.png 9427369 11398989
threads 1 500 blotches-15.png 20163040 20188442
threadsMemory 1 500 blotches-15.png 6936558 8254128
grPPi 1 500 blotches-15.png 34091902 34117353
grPPiMemory 1 500 blotches-15.png 12947959 14288746
parallelFor 2 500 blotches-15.png 13693241 13725839
parallelForMemory 2 500 blotches-15.png 4652076 6086296
fastFlow 2 500 blotches-15.png 12015033 12044407
fastFlowMemory 2 500 blotches-15.png 5940629 7689797
threads 2 500 blotches-15.png 14502771 14533514
threadsMemory 2 500 blotches-15.png 4466829 5889765
grPPi 2 500 blotches-15.png 20242647 20277472
grPPiMemory 2 500 blotches-15.png 7813720 9261277
parallelFor 4 500 blotches-15.png 13576253 13610825
parallelForMemory 4 500 blotches-15.png 3925738 5890179
fastFlow 4 500 blotches-15.png 9867170 9895757
fastFlowMemory 4 500 blotches-15.png 4128216 5477098
threads 4 500 blotches-15.png 9889513 9916450
threadsMemory 4 500 blotches-15.png 3655084 5025986
grPPi 4 500 blotches-15.png 14107770 14135619
grPPiMemory 4 500 blotches-15.png 5321090 6691604
sequential 1 500 plasma-11.png 19649649 19677927
sequentialMemory 1 500 plasma-11.png 8193761 9501263
parallelFor 1 500 plasma-11.png 19250634 19277355
parallelForMemory 1 500 plasma-11.png 7501589 8875352
fastFlow 1 500 plasma-11.png 19197276 19240418
fastFlowMemory 1 500 plasma-11.png 8276837 9551806
threads 1 500 plasma-11.png 18497575 18520500
threadsMemory 1 500 plasma-11.png 7249219 8543865
grPPi 1 500 plasma-11.png 29789743 29812455
grPPiMemory 1 500 plasma-11.png 12402071 13750552
parallelFor 2 500 plasma-11.png 11532503 11560123
parallelForMemory 2 500 plasma-11.png 4255472 5591622
fastFlow 2 500 plasma-11.png 11563160 11592390
fastFlowMemory 2 500 plasma-11.png 4795719 6123469
threads 2 500 plasma-11.png 11579640 11606219
threadsMemory 2 500 plasma-11.png 4225362 5565908
grPPi 2 500 plasma-11.png 17816667 17841983
grPPiMemory 2 500 plasma-11.png 7112564 8455499
parallelFor 4 500 plasma-11.png 9900494 9931066
parallelForMemory 4 500 plasma-11.png 3823330 5179471
fastFlow 4 500 plasma-11.png 10058852 10091343
fastFlowMemory 4 500 plasma-11.png 4340262 5699560
threads 4 500 plasma-11.png 10030163 10056470
threadsMemory 4 500 plasma-11.png 4103966 5470719
grPPi 4 500 plasma-11.png 14942033 14970677
grPPiMemory 4 500 plasma-11.png 7186013 9086838
sequential 1 500 polaroid-02.png 22659845 22689190
sequentialMemory 1 500 polaroid-02.png 5270357 6584062
parallelFor 1 500 polaroid-02.png 19925781 19950608
parallelForMemory 1 500 polaroid-02.png 4347087 5934553
fastFlow 1 500 polaroid-02.png 16988806 17012141
fastFlowMemory 1 500 polaroid-02.png 5221157 6510099
threads 1 500 polaroid-02.png 21675654 21707725
threadsMemory 1 500 polaroid-02.png 3905469 5270690
grPPi 1 500 polaroid-02.png 27732951 27753648
grPPiMemory 1 500 polaroid-02.png 6533296 8080688
parallelFor 2 500 polaroid-02.png 14027875 14053600
parallelForMemory 2 500 polaroid-02.png 2151077 3513680
fastFlow 2 500 polaroid-02.png 9971111 9996677
fastFlowMemory 2 500 polaroid-02.png 2626684 3959026
threads 2 500 polaroid-02.png 9785086 9809355
threadsMemory 2 500 polaroid-02.png 2157334 3505308
grPPi 2 500 polaroid-02.png 14538632 14562947
grPPiMemory 2 500 polaroid-02.png 3603628 4979684
parallelFor 4 500 polaroid-02.png 8132090 8158515
parallelForMemory 4 500 polaroid-02.png 1907930 3291417
fastFlow 4 500 polaroid-02.png 8329131 8356088
fastFlowMemory 4 500 polaroid-02.png 2316149 3715286
threads 4 500 polaroid-02.png 8305187 8328765
threadsMemory 4 500 polaroid-02.png 1881554 3283448
grPPi 4 500 polaroid-02.png 12020693 12045864
grPPiMemory 4 500 polaroid-02.png 2824711 4228568
sequential 1 500 random-05.png 18822522 18847985
sequentialMemory 1 500 random-05.png 522818 1836386
parallelFor 1 500 random-05.png 18922806 18947819
parallelForMemory 1 500 random-05.png 842569 2480737
