Program ParDeg inputSize wmName tComputation tTotal
sequential 1 1499 blotches-01.png 260496168 260591064
sequentialMemory 1 1499 blotches-01.png 6469726 17025587
parallelFor 1 1499 blotches-01.png 261701922 261798091
parallelForMemory 1 1499 blotches-01.png 6810621 17246478
fastFlow 1 1499 blotches-01.png 262927633 263024960
fastFlowMemory 1 1499 blotches-01.png 8331008 18914812
threads 1 1499 blotches-01.png 263027152 263123383
parallelFor 2 1499 blotches-01.png 136311531 136411548
parallelForMemory 2 1499 blotches-01.png 3548149 13961579
fastFlow 2 1499 blotches-01.png 136426758 136522645
fastFlowMemory 2 1499 blotches-01.png 4748909 15166040
threads 2 1499 blotches-01.png 136501552 136608740
parallelFor 4 1499 blotches-01.png 69828098 69930785
parallelForMemory 4 1499 blotches-01.png 1775864 12321125
fastFlow 4 1499 blotches-01.png 69960830 70066537
fastFlowMemory 4 1499 blotches-01.png 2809211 13332138
threads 4 1499 blotches-01.png 70829474 70928661
parallelFor 8 1499 blotches-01.png 36741955 36845570
parallelForMemory 8 1499 blotches-01.png 888399 11360556
fastFlow 8 1499 blotches-01.png 35971981 36068328
fastFlowMemory 8 1499 blotches-01.png 1815630 12314323
threads 8 1499 blotches-01.png 37069313 37175311
parallelFor 16 1499 blotches-01.png 19576904 19679275
parallelForMemory 16 1499 blotches-01.png 447298 10933460
fastFlow 16 1499 blotches-01.png 18583049 18691464
fastFlowMemory 16 1499 blotches-01.png 1313163 11836738
threads 16 1499 blotches-01.png 18933253 19029929
parallelFor 32 1499 blotches-01.png 9411376 9507150
parallelForMemory 32 1499 blotches-01.png 231586 10718614
fastFlow 32 1499 blotches-01.png 9573118 9670797
fastFlowMemory 32 1499 blotches-01.png 1125035 11678034
threads 32 1499 blotches-01.png 9385007 9482295
parallelFor 64 1499 blotches-01.png 6107789 6202626
parallelForMemory 64 1499 blotches-01.png 125694 10553721
fastFlow 64 1499 blotches-01.png 6451011 6550267
fastFlowMemory 64 1499 blotches-01.png 1209770 11825898
threads 64 1499 blotches-01.png 6593120 6694790
parallelFor 128 1499 blotches-01.png 7120713 7219487
parallelForMemory 128 1499 blotches-01.png 118968 10589655
fastFlow 128 1499 blotches-01.png 6441043 6537171
fastFlowMemory 128 1499 blotches-01.png 1324629 11969426
threads 128 1499 blotches-01.png 6649902 6747097
parallelFor 256 1499 blotches-01.png 7454792 7560045
parallelForMemory 256 1499 blotches-01.png 118575 10830222
fastFlow 256 1499 blotches-01.png 7487666 7584938
fastFlowMemory 256 1499 blotches-01.png 1596046 12447420
threads 256 1499 blotches-01.png 8053598 8150749
sequential 1 1499 blotches-15.png 490743097 490883245
sequentialMemory 1 1499 blotches-15.png 237832126 248298232
parallelFor 1 1499 blotches-15.png 490941645 491070618
parallelForMemory 1 1499 blotches-15.png 251412604 261815903
fastFlow 1 1499 blotches-15.png 493184930 493313861
fastFlowMemory 1 1499 blotches-15.png 254107082 264567538
threads 1 1499 blotches-15.png 491884205 492012926
parallelFor 2 1499 blotches-15.png 256911297 257057860
parallelForMemory 2 1499 blotches-15.png 131117245 141439671
fastFlow 2 1499 blotches-15.png 256255344 256391600
fastFlowMemory 2 1499 blotches-15.png 132298493 142672639
threads 2 1499 blotches-15.png 255554197 255692923
parallelFor 4 1499 blotches-15.png 131083956 131216346
parallelForMemory 4 1499 blotches-15.png 65828080 76226975
fastFlow 4 1499 blotches-15.png 129411582 129550115
fastFlowMemory 4 1499 blotches-15.png 66662918 77091357
threads 4 1499 blotches-15.png 131197555 131326638
parallelFor 8 1499 blotches-15.png 69457188 69594350
parallelForMemory 8 1499 blotches-15.png 34862624 45369828
fastFlow 8 1499 blotches-15.png 65898728 66031186
fastFlowMemory 8 1499 blotches-15.png 33767151 44281109
threads 8 1499 blotches-15.png 68820506 68959513
parallelFor 16 1499 blotches-15.png 37828181 37969920
parallelForMemory 16 1499 blotches-15.png 17832765 28324952
fastFlow 16 1499 blotches-15.png 33520913 33651005
fastFlowMemory 16 1499 blotches-15.png 17548071 28077571
threads 16 1499 blotches-15.png 37843003 37977451
parallelFor 32 1499 blotches-15.png 17915369 18049939
parallelForMemory 32 1499 blotches-15.png 9167036 19630204
fastFlow 32 1499 blotches-15.png 17034884 17164507
fastFlowMemory 32 1499 blotches-15.png 9065773 19390145
threads 32 1499 blotches-15.png 18812466 18941695
parallelFor 64 1499 blotches-15.png 10170640 10308804
parallelForMemory 64 1499 blotches-15.png 4871236 15192668
fastFlow 64 1499 blotches-15.png 8895883 9023822
fastFlowMemory 64 1499 blotches-15.png 5053516 15423023
threads 64 1499 blotches-15.png 10702782 10839787
