Program ParDeg inputSize wmName tComputation tTotal
sequential 1 1499 blotches-01.png 257955104 258075130
sequentialMemory 1 1499 blotches-01.png 6392538 15104216
parallelFor 1 1499 blotches-01.png 256937942 257067442
parallelForMemory 1 1499 blotches-01.png 6322573 15052479
fastFlow 1 1499 blotches-01.png 257906998 258037174
fastFlowMemory 1 1499 blotches-01.png 8036083 16643955
threads 1 1499 blotches-01.png 258921300 259040853
threadsMemory 1 1499 blotches-01.png 6950890 15613250
grPPi 1 1499 blotches-01.png 270761835 270855506
grPPiMemory 1 1499 blotches-01.png 6974090 17204377
parallelFor 2 1499 blotches-01.png 132602530 132724205
parallelForMemory 2 1499 blotches-01.png 3217289 11789052
fastFlow 2 1499 blotches-01.png 134326157 134445101
fastFlowMemory 2 1499 blotches-01.png 4473115 13090832
threads 2 1499 blotches-01.png 135603850 135723055
threadsMemory 2 1499 blotches-01.png 3620455 12336786
grPPi 2 1499 blotches-01.png 136377783 136478910
grPPiMemory 2 1499 blotches-01.png 3492628 13728454
parallelFor 4 1499 blotches-01.png 68839966 68961621
parallelForMemory 4 1499 blotches-01.png 1719273 10265200
fastFlow 4 1499 blotches-01.png 68821218 68951469
fastFlowMemory 4 1499 blotches-01.png 2488959 11203406
threads 4 1499 blotches-01.png 68920671 69042214
threadsMemory 4 1499 blotches-01.png 1814979 10448252
grPPi 4 1499 blotches-01.png 71228906 71329044
grPPiMemory 4 1499 blotches-01.png 1746186 12139978
parallelFor 8 1499 blotches-01.png 34656440 34776808
parallelForMemory 8 1499 blotches-01.png 899586 9466149
fastFlow 8 1499 blotches-01.png 35536429 35659597
fastFlowMemory 8 1499 blotches-01.png 1505798 10092756
threads 8 1499 blotches-01.png 39548709 39669991
threadsMemory 8 1499 blotches-01.png 903483 9522531
grPPi 8 1499 blotches-01.png 37940382 38042167
grPPiMemory 8 1499 blotches-01.png 876159 11110878
parallelFor 16 1499 blotches-01.png 17460065 17588812
parallelForMemory 16 1499 blotches-01.png 512184 9024931
fastFlow 16 1499 blotches-01.png 18317877 18445826
fastFlowMemory 16 1499 blotches-01.png 982674 9673318
threads 16 1499 blotches-01.png 19219117 19340270
threadsMemory 16 1499 blotches-01.png 453959 9020884
grPPi 16 1499 blotches-01.png 19099975 19204984
grPPiMemory 16 1499 blotches-01.png 446427 10703606
parallelFor 32 1499 blotches-01.png 8889366 9016585
parallelForMemory 32 1499 blotches-01.png 317989 8977884
fastFlow 32 1499 blotches-01.png 9468377 9590057
fastFlowMemory 32 1499 blotches-01.png 795773 9340265
threads 32 1499 blotches-01.png 9531021 9652448
threadsMemory 32 1499 blotches-01.png 233561 8900004
grPPi 32 1499 blotches-01.png 9747012 9852774
grPPiMemory 32 1499 blotches-01.png 228413 10602628
parallelFor 64 1499 blotches-01.png 5858389 5988691
